number,date_time,temp,RH,site,block,treatment
220,6/16/2017 21:30,68.999,81.983,CBE,1,soy
221,6/16/2017 22:00,68.313,83.183,CBE,1,soy
222,6/16/2017 22:30,66.344,87.065,CBE,1,soy
223,6/16/2017 23:00,65.53,89.073,CBE,1,soy
224,6/16/2017 23:30,64.288,90.676,CBE,1,soy
225,6/17/2017 0:00,63.176,93.911,CBE,1,soy
226,6/17/2017 0:30,63.819,92.896,CBE,1,soy
227,6/17/2017 1:00,65.745,89.586,CBE,1,soy
228,6/17/2017 1:30,65.788,88.891,CBE,1,soy
229,6/17/2017 2:00,66.429,85.681,CBE,1,soy
230,6/17/2017 2:30,65.658,87.737,CBE,1,soy
231,6/17/2017 3:00,67.242,84.987,CBE,1,soy
232,6/17/2017 3:30,67.586,85.251,CBE,1,soy
233,6/17/2017 4:00,67.627,85.835,CBE,1,soy
234,6/17/2017 4:30,67.842,86.658,CBE,1,soy
235,6/17/2017 5:00,68.4,86.401,CBE,1,soy
236,6/17/2017 5:30,66.643,90.623,CBE,1,soy
237,6/17/2017 6:00,66.087,92.205,CBE,1,soy
238,6/17/2017 6:30,68.698,88.573,CBE,1,soy
239,6/17/2017 7:00,70.543,86.622,CBE,1,soy
240,6/17/2017 7:30,71.017,86.931,CBE,1,soy
241,6/17/2017 8:00,72.523,85.379,CBE,1,soy
242,6/17/2017 8:30,72.997,84.714,CBE,1,soy
243,6/17/2017 9:00,74.727,80.209,CBE,1,soy
244,6/17/2017 9:30,73.645,84.291,CBE,1,soy
245,6/17/2017 10:00,73.774,83.915,CBE,1,soy
246,6/17/2017 10:30,73.429,86.661,CBE,1,soy
247,6/17/2017 11:00,75.29,84.243,CBE,1,soy
248,6/17/2017 11:30,76.375,81.972,CBE,1,soy
249,6/17/2017 12:00,77.77,79.505,CBE,1,soy
250,6/17/2017 12:30,76.854,79.686,CBE,1,soy
251,6/17/2017 13:00,76.942,76.401,CBE,1,soy
252,6/17/2017 13:30,77.684,75.842,CBE,1,soy
253,6/17/2017 14:00,78.777,74.115,CBE,1,soy
254,6/17/2017 14:30,82.441,68.646,CBE,1,soy
255,6/17/2017 15:00,87.255,58.336,CBE,1,soy
256,6/17/2017 15:30,88.396,54.968,CBE,1,soy
257,6/17/2017 16:00,88.81,51.69,CBE,1,soy
258,6/17/2017 16:30,85.217,57.283,CBE,1,soy
259,6/17/2017 17:00,86.891,54.339,CBE,1,soy
260,6/17/2017 17:30,87.3,52.929,CBE,1,soy
261,6/17/2017 18:00,82.175,63.529,CBE,1,soy
262,6/17/2017 18:30,79.92,86.595,CBE,1,soy
263,6/17/2017 19:00,75.376,86.911,CBE,1,soy
264,6/17/2017 19:30,74.64,89.744,CBE,1,soy
265,6/17/2017 20:00,73.904,88.712,CBE,1,soy
266,6/17/2017 20:30,71.231,95.962,CBE,1,soy
267,6/17/2017 21:00,70.502,96.834,CBE,1,soy
268,6/17/2017 21:30,70.63,96.905,CBE,1,soy
269,6/17/2017 22:00,70.459,97.17,CBE,1,soy
270,6/17/2017 22:30,70.803,97.062,CBE,1,soy
271,6/17/2017 23:00,70.459,95.638,CBE,1,soy
272,6/17/2017 23:30,70.201,96.394,CBE,1,soy
273,6/18/2017 0:00,70.201,96.764,CBE,1,soy
274,6/18/2017 0:30,70.63,96.404,CBE,1,soy
275,6/18/2017 1:00,70.372,96.683,CBE,1,soy
276,6/18/2017 1:30,70.158,97.599,CBE,1,soy
277,6/18/2017 2:00,70.115,98.064,CBE,1,soy
278,6/18/2017 2:30,70.115,98.038,CBE,1,soy
279,6/18/2017 3:00,70.329,98.305,CBE,1,soy
280,6/18/2017 3:30,70.459,97.853,CBE,1,soy
281,6/18/2017 4:00,70.63,97.537,CBE,1,soy
282,6/18/2017 4:30,70.372,93.603,CBE,1,soy
283,6/18/2017 5:00,69.386,93.091,CBE,1,soy
284,6/18/2017 5:30,69.17,91.613,CBE,1,soy
285,6/18/2017 6:00,69.343,90.774,CBE,1,soy
286,6/18/2017 6:30,69.514,90.365,CBE,1,soy
287,6/18/2017 7:00,69.942,89.718,CBE,1,soy
288,6/18/2017 7:30,70.372,88.876,CBE,1,soy
289,6/18/2017 8:00,70.372,89.204,CBE,1,soy
290,6/18/2017 8:30,70.803,89.233,CBE,1,soy
291,6/18/2017 9:00,71.317,88.536,CBE,1,soy
292,6/18/2017 9:30,73.472,84.046,CBE,1,soy
293,6/18/2017 10:00,73.861,83.223,CBE,1,soy
294,6/18/2017 10:30,71.317,88.755,CBE,1,soy
295,6/18/2017 11:00,73.558,87.84,CBE,1,soy
296,6/18/2017 11:30,78.602,81.497,CBE,1,soy
297,6/18/2017 12:00,78.427,68.849,CBE,1,soy
298,6/18/2017 12:30,80.184,63.531,CBE,1,soy
299,6/18/2017 13:00,79.788,58.616,CBE,1,soy
300,6/18/2017 13:30,80.227,57.623,CBE,1,soy
301,6/18/2017 14:00,77.596,59.576,CBE,1,soy
302,6/18/2017 14:30,78.69,59.268,CBE,1,soy
303,6/18/2017 15:00,76.464,59.694,CBE,1,soy
304,6/18/2017 15:30,77.335,59.738,CBE,1,soy
305,6/18/2017 16:00,79.304,55.228,CBE,1,soy
306,6/18/2017 16:30,78.339,56.091,CBE,1,soy
307,6/18/2017 17:00,78.382,54.934,CBE,1,soy
308,6/18/2017 17:30,78.208,56.425,CBE,1,soy
309,6/18/2017 18:00,74.943,58.668,CBE,1,soy
310,6/18/2017 18:30,76.375,55.338,CBE,1,soy
311,6/18/2017 19:00,76.464,56.157,CBE,1,soy
312,6/18/2017 19:30,72.869,61.704,CBE,1,soy
313,6/18/2017 20:00,73.472,59.955,CBE,1,soy
314,6/18/2017 20:30,70.243,65.501,CBE,1,soy
315,6/18/2017 21:00,68.614,69.635,CBE,1,soy
316,6/18/2017 21:30,67.971,71.294,CBE,1,soy
317,6/18/2017 22:00,66.515,75.295,CBE,1,soy
318,6/18/2017 22:30,66.258,74.923,CBE,1,soy
319,6/18/2017 23:00,65.188,78.269,CBE,1,soy
320,6/18/2017 23:30,65.059,77.943,CBE,1,soy
321,6/19/2017 0:00,63.347,82.513,CBE,1,soy
322,6/19/2017 0:30,62.49,86.237,CBE,1,soy
323,6/19/2017 1:00,64.033,82.874,CBE,1,soy
324,6/19/2017 1:30,62.834,85.792,CBE,1,soy
325,6/19/2017 2:00,61.891,88.532,CBE,1,soy
326,6/19/2017 2:30,61.977,88.945,CBE,1,soy
327,6/19/2017 3:00,61.462,89.917,CBE,1,soy
328,6/19/2017 3:30,59.659,93.175,CBE,1,soy
329,6/19/2017 4:00,59.788,92.591,CBE,1,soy
330,6/19/2017 4:30,59.486,92.863,CBE,1,soy
331,6/19/2017 5:00,58.798,93.704,CBE,1,soy
332,6/19/2017 5:30,58.712,93.483,CBE,1,soy
333,6/19/2017 6:00,57.679,95.352,CBE,1,soy
334,6/19/2017 6:30,58.411,94.84,CBE,1,soy
335,6/19/2017 7:00,65.273,85.533,CBE,1,soy
336,6/19/2017 7:30,66.772,83.408,CBE,1,soy
337,6/19/2017 8:00,69.256,79.451,CBE,1,soy
338,6/19/2017 8:30,70.716,76.885,CBE,1,soy
339,6/19/2017 9:00,71.964,73.526,CBE,1,soy
340,6/19/2017 9:30,73.99,69.238,CBE,1,soy
341,6/19/2017 10:00,73.558,66.93,CBE,1,soy
342,6/19/2017 10:30,75.29,62.715,CBE,1,soy
343,6/19/2017 11:00,75.376,64.243,CBE,1,soy
344,6/19/2017 11:30,74.25,63.228,CBE,1,soy
345,6/19/2017 12:00,75.029,61.563,CBE,1,soy
346,6/19/2017 12:30,80.404,56.699,CBE,1,soy
347,6/19/2017 13:00,73.645,60.369,CBE,1,soy
348,6/19/2017 13:30,69.942,71.502,CBE,1,soy
349,6/19/2017 14:00,78.514,55.416,CBE,1,soy
350,6/19/2017 14:30,77.292,58.093,CBE,1,soy
351,6/19/2017 15:00,78.033,50.764,CBE,1,soy
352,6/19/2017 15:30,77.292,55.38,CBE,1,soy
353,6/19/2017 16:00,76.854,53.366,CBE,1,soy
354,6/19/2017 16:30,77.029,51.99,CBE,1,soy
355,6/19/2017 17:00,78.777,50.883,CBE,1,soy
356,6/19/2017 17:30,78.559,52.961,CBE,1,soy
357,6/19/2017 18:00,75.29,54.092,CBE,1,soy
358,6/19/2017 18:30,72.05,57.497,CBE,1,soy
359,6/19/2017 19:00,63.347,75.083,CBE,1,soy
360,6/19/2017 19:30,64.033,79.482,CBE,1,soy
361,6/19/2017 20:00,65.403,73.479,CBE,1,soy
362,6/19/2017 20:30,67.372,64.778,CBE,1,soy
363,6/19/2017 21:00,60.604,77.258,CBE,1,soy
364,6/19/2017 21:30,59.959,78.497,CBE,1,soy
365,6/19/2017 22:00,59.745,79.168,CBE,1,soy
366,6/19/2017 22:30,60.003,79.754,CBE,1,soy
367,6/19/2017 23:00,59.745,82.04,CBE,1,soy
368,6/19/2017 23:30,58.712,85.152,CBE,1,soy
369,6/20/2017 0:00,57.765,88.91,CBE,1,soy
370,6/20/2017 0:30,57.29,91.35,CBE,1,soy
371,6/20/2017 1:00,57.42,91.472,CBE,1,soy
372,6/20/2017 1:30,57.204,91.704,CBE,1,soy
373,6/20/2017 2:00,56.988,91.569,CBE,1,soy
374,6/20/2017 2:30,56.383,93.021,CBE,1,soy
375,6/20/2017 3:00,57.247,92.337,CBE,1,soy
376,6/20/2017 3:30,56.858,94.021,CBE,1,soy
377,6/20/2017 4:00,56.988,94.788,CBE,1,soy
378,6/20/2017 4:30,57.031,95.335,CBE,1,soy
379,6/20/2017 5:00,56.901,95.855,CBE,1,soy
380,6/20/2017 5:30,57.247,96.52,CBE,1,soy
381,6/20/2017 6:00,56.728,96.673,CBE,1,soy
382,6/20/2017 6:30,57.16,96.149,CBE,1,soy
383,6/20/2017 7:00,61.547,89.875,CBE,1,soy
384,6/20/2017 7:30,64.161,84.487,CBE,1,soy
385,6/20/2017 8:00,65.658,82.633,CBE,1,soy
386,6/20/2017 8:30,67.158,77.051,CBE,1,soy
387,6/20/2017 9:00,68.056,71.536,CBE,1,soy
388,6/20/2017 9:30,70.329,64.461,CBE,1,soy
389,6/20/2017 10:00,72.567,61.098,CBE,1,soy
390,6/20/2017 10:30,73.558,59.472,CBE,1,soy
391,6/20/2017 11:00,72.567,59.14,CBE,1,soy
392,6/20/2017 11:30,75.767,52.967,CBE,1,soy
393,6/20/2017 12:00,74.381,55.114,CBE,1,soy
394,6/20/2017 12:30,76.289,53.102,CBE,1,soy
395,6/20/2017 13:00,76.507,49.186,CBE,1,soy
396,6/20/2017 13:30,75.074,45.528,CBE,1,soy
397,6/20/2017 14:00,78.208,43.369,CBE,1,soy
398,6/20/2017 14:30,75.16,44.728,CBE,1,soy
399,6/20/2017 15:00,76.725,42.819,CBE,1,soy
400,6/20/2017 15:30,71.62,49.721,CBE,1,soy
401,6/20/2017 16:00,64.974,67.357,CBE,1,soy
402,6/20/2017 16:30,60.733,76.823,CBE,1,soy
